species,smiles,parent,parent 2,isotopologue,source,N,logN,final vectors 70,final vectors iso 70
C3H6,C=CC,Main,Main,n,Manigand et al. (20),4.20E+16,16.62,"[-3.142677, 0.45593625, 0.9588221, -1.4024658, 3.0899782, 1.1873087, -3.2533746, 0.386155, 1.3780916, 1.4193075, 2.3957126, 0.4449974, 0.8742292, 1.861173, 2.5205605, 0.4469332, -4.02101, 1.8653483, 1.8442833, -1.8660859, -1.5023173, -1.1030177, 0.6121769, 0.63316214, -1.9922076, -2.1153283, -0.3735595, 3.343078, 1.0085908, -2.5577192, 1.6454768, -1.4319319, 0.07884598, -0.6861087, -1.5086035, -0.07732756, -1.9284182, 0.9434936, -1.671742, -0.39612347, -0.21498534, -1.9571888, 1.4100213, -2.0503745, 1.1612033, -1.5652071, 4.4175887, 0.38516313, 0.84709954, 0.4767046, -2.1205935, -0.82247096, 0.8605217, 2.8271663, 2.73139, 2.3504057, -2.0943432, 0.49901232, 0.46122065, -1.41799, -0.58502114, 0.8417169, 1.9765334, 3.6461942, -0.15073134, 0.18294609, 2.26429, 1.0260518, -0.8672191, -1.0018222]","[-3.142677, 0.45593625, 0.9588221, -1.4024658, 3.0899782, 1.1873087, -3.2533746, 0.386155, 1.3780916, 1.4193075, 2.3957126, 0.4449974, 0.8742292, 1.861173, 2.5205605, 0.4469332, -4.02101, 1.8653483, 1.8442833, -1.8660859, -1.5023173, -1.1030177, 0.6121769, 0.63316214, -1.9922076, -2.1153283, -0.3735595, 3.343078, 1.0085908, -2.5577192, 1.6454768, -1.4319319, 0.07884598, -0.6861087, -1.5086035, -0.07732756, -1.9284182, 0.9434936, -1.671742, -0.39612347, -0.21498534, -1.9571888, 1.4100213, -2.0503745, 1.1612033, -1.5652071, 4.4175887, 0.38516313, 0.84709954, 0.4767046, -2.1205935, -0.82247096, 0.8605217, 2.8271663, 2.73139, 2.3504057, -2.0943432, 0.49901232, 0.46122065, -1.41799, -0.58502114, 0.8417169, 1.9765334, 3.6461942, -0.15073134, 0.18294609, 2.26429, 1.0260518, -0.8672191, -1.0018222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CH3CH2OH,CCO,Main,Main,n,Jorgensen et al. (18),2.30E+17,17.36,"[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812]","[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
a-CH3CHDOH,[2H]C(C)O,CCO,CCO,y,Jorgensen et al. (18),2.30E+16,16.36172784,"[-2.890468, 2.3880234, -0.37898242, -0.9471209, 3.6170735, 1.007677, -2.4618986, 2.3867521, 2.382062, 2.2133174, 2.290286, -2.5040805, 1.9813478, 0.2721665, -0.8137263, 0.06912298, -4.3610854, 1.6596037, 4.1867867, -3.061255, 1.4985908, -0.23884569, 3.6483111, -0.99643356, -4.4476395, -2.647051, -1.3275973, 1.6390167, 3.864551, -0.36209744, 1.9930024, -2.603781, -2.6457913, -2.0781043, -0.054080725, 0.1830292, -1.9299769, 2.9722867, -0.54538226, 1.3427895, 0.2888422, 0.10439725, -0.9330077, -1.4419334, 2.1960773, -1.8938823, 3.7175865, -2.2208924, 0.90899533, 0.43279874, -2.4919896, -0.7031975, 0.29206502, 0.8821013, -0.10284564, -1.428148, -4.3392625, -2.4277103, -2.3184783, -0.30252498, -1.1039336, 0.907096, 3.9252193, 7.447797, -0.06367479, -0.9683995, 0.39851528, 2.3101282, 0.81073135, 1.5632436]","[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0]"
a-a-CH2DCH2OH,[2H]CCO,CCO,CCO,y,Jorgensen et al. (18),2.70E+16,16.43136376,"[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812]","[-1.3597348, 1.4009056, -1.3490344, -0.30872804, 3.96212, 0.34184968, -3.134173, 0.111702286, 1.4343486, 2.696896, 2.1388326, -1.5498546, 1.4222018, 0.80646324, 1.971213, 1.0862609, -3.7154076, -0.26439643, 2.9038057, -0.9563616, 1.371105, -0.10958931, 2.3162754, 0.8257591, -4.746022, -1.837398, -1.7946994, 1.4751153, 3.0271978, -0.058464527, 1.3814309, -2.6542668, -0.6309733, -0.97990996, 0.17388344, 0.21822907, -2.2246006, 1.9873189, -1.5439304, 1.2409858, -0.27407157, -0.27916333, 0.16510917, -0.367702, 1.9291272, -2.0858808, 3.5739198, -1.1233846, 0.74157804, 1.049739, -1.5345025, -0.4627235, 0.40122676, 0.09314364, 1.4940476, -1.189565, -1.8592218, -0.040105104, -0.41718102, 0.11527308, -1.1297174, 1.5648867, 1.4639426, 5.3168864, 0.8857627, -1.4699423, 0.109804764, 0.20042711, 0.54391164, 1.6698812, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0]"
(CH3)2CO,CC(C)=O,Main,Main,n,Lykke et al. (17),1.70E+16,16.23,"[-2.3958573, -0.50983375, -0.12429951, -0.061725914, 4.913934, -0.76118135, -2.6439235, 0.15034665, 1.5042298, 0.87655103, 4.9581065, -0.2930196, 3.7621784, 0.699275, 3.9324677, -0.46475324, -4.8920712, 3.4088852, 4.267317, -0.3540981, -1.3513763, 1.007205, 1.3228307, -0.24568245, -3.0642745, -3.4394026, -1.5426714, 1.7991554, 3.6369326, 1.1956338, 0.31406242, -5.174872, 1.5532242, -3.5670662, 0.7032647, 0.020751402, -2.8131819, 3.252927, 0.2548986, 2.0856364, -1.0059005, -0.9697861, 1.001593, 0.21377589, 2.1604493, -1.6680683, 6.091354, 0.5874827, 1.1498544, 1.6901604, -0.85006034, -0.6967555, 1.0251315, 0.5648533, 1.4847839, 1.711236, -3.9760814, -0.51806146, -1.5438875, -1.0787423, -1.9133255, 0.8501521, 3.0468807, 4.187725, -0.26155677, -1.7333583, 1.1737188, 0.06780587, -0.050158158, -0.08776489]","[-2.3958573, -0.50983375, -0.12429951, -0.061725914, 4.913934, -0.76118135, -2.6439235, 0.15034665, 1.5042298, 0.87655103, 4.9581065, -0.2930196, 3.7621784, 0.699275, 3.9324677, -0.46475324, -4.8920712, 3.4088852, 4.267317, -0.3540981, -1.3513763, 1.007205, 1.3228307, -0.24568245, -3.0642745, -3.4394026, -1.5426714, 1.7991554, 3.6369326, 1.1956338, 0.31406242, -5.174872, 1.5532242, -3.5670662, 0.7032647, 0.020751402, -2.8131819, 3.252927, 0.2548986, 2.0856364, -1.0059005, -0.9697861, 1.001593, 0.21377589, 2.1604493, -1.6680683, 6.091354, 0.5874827, 1.1498544, 1.6901604, -0.85006034, -0.6967555, 1.0251315, 0.5648533, 1.4847839, 1.711236, -3.9760814, -0.51806146, -1.5438875, -1.0787423, -1.9133255, 0.8501521, 3.0468807, 4.187725, -0.26155677, -1.7333583, 1.1737188, 0.06780587, -0.050158158, -0.08776489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
CS,[C-]#[S+],Main,Main,n,Drozdovskaya (18),3.90E+15,15.59,"[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442]","[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C(34S),[C-]#[34S+],[C-]#[S+],[C-]#[S+],y,Drozdovskaya et al. (18),2.00E+14,14.30103,"[0.29626095, 0.3564114, 1.1198026, -0.19317034, 0.24015126, 0.6550008, -0.1264266, 0.9572461, 1.6100416, 0.92779803, -0.0406314, 0.09764473, -0.19496864, 0.24164389, 0.6523062, -0.26942974, -0.14313337, 0.41162267, 1.2177722, 0.41767758, -0.38059974, 0.21152271, 0.3321623, 0.31571567, 0.45059857, 0.0473305, 0.22746873, 0.7853005, 0.3074998, -0.51413697, 0.20570822, -0.10501092, 0.3866611, -0.47935796, -1.3106593, 0.33390936, -0.37741548, 1.1380217, -0.41022992, 0.41113505, 0.28708538, -0.52322054, 0.18918292, -0.29148337, -0.5652266, 0.082876585, -0.3549019, 0.117477395, -0.33600798, 0.27156395, -0.41461325, 0.059902698, -0.40842563, -0.17797464, 0.33156383, -0.12656763, -0.64283705, -0.18181258, -0.108800724, -0.414187, 0.103711724, 0.14728688, 0.9527026, 0.93783647, 0.18533085, 0.49344563, -1.0634619, 0.18239748, 0.018324938, -0.7973142]","[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C(36S),[C-]#[36S+],[C-]#[S+],[C-]#[S+],y,Drozdovskaya et al. (18),1.40E+13,13.14612804,"[0.36264026, 0.3851148, 1.0863363, -0.18132055, 0.2323541, 0.66432333, -0.12691009, 0.9799828, 1.6313453, 0.8830692, 0.0076918807, 0.10093937, -0.21418951, 0.20528485, 0.6073816, -0.2818989, -0.1581925, 0.3815732, 1.1719203, 0.44620898, -0.3520104, 0.23503284, 0.3368951, 0.32915127, 0.35819983, 0.03154839, 0.19327094, 0.7772148, 0.28664678, -0.5183922, 0.21540946, -0.118221804, 0.38938463, -0.49077368, -1.2504517, 0.3878937, -0.38879812, 1.1314675, -0.35956973, 0.44229633, 0.25970772, -0.53116894, 0.18646412, -0.27643007, -0.55563074, 0.08561961, -0.34130275, 0.09124901, -0.32572907, 0.27365398, -0.3683577, 0.018439323, -0.38360137, -0.19726759, 0.31708694, -0.15743501, -0.5720421, -0.14834812, -0.060368028, -0.44414863, 0.07864933, 0.1308848, 0.96794695, 0.897263, 0.14951904, 0.47318, -1.0750659, 0.18604907, 0.047705576, -0.77537227]","[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CH3NC,[C-]#[N+]C,Main,Main,n,Calcutt et al. (2018a),2.00E+14,14.3,"[1.7677851, 1.3411903, 3.8962622, -0.18577722, 1.8336791, 1.2973537, -0.800772, 3.0495481, 8.013187, 2.8528552, -0.33057085, -0.49792185, -1.0866085, 0.21740593, 1.323304, -1.6186014, -0.95913345, 1.4668767, 3.4986954, 0.48272288, -0.7091788, 0.17715898, 1.8455718, 1.1461829, -0.14519268, -1.8733234, 0.8892472, 3.662121, 2.230974, -1.9181478, 0.38069728, -1.2018962, 2.808406, -2.90904, -6.343677, 1.5802416, -1.5679412, 5.085573, -1.0183126, 0.6537627, 0.49880266, -2.5247548, 0.7138658, -0.4665982, -1.1669912, -0.4672428, -0.49164677, 0.12345032, -0.6138634, 0.99098986, -0.6943945, 0.37716144, 0.6026509, -0.86865497, 0.7945523, -0.48042956, -2.5727186, -0.63562524, -1.2183458, -1.9915338, -1.0327593, 0.1018864, 3.163569, 4.171684, -0.06983541, 3.1973033, -3.906393, 1.0964828, 0.31257957, -2.9797087]","[1.7677851, 1.3411903, 3.8962622, -0.18577722, 1.8336791, 1.2973537, -0.800772, 3.0495481, 8.013187, 2.8528552, -0.33057085, -0.49792185, -1.0866085, 0.21740593, 1.323304, -1.6186014, -0.95913345, 1.4668767, 3.4986954, 0.48272288, -0.7091788, 0.17715898, 1.8455718, 1.1461829, -0.14519268, -1.8733234, 0.8892472, 3.662121, 2.230974, -1.9181478, 0.38069728, -1.2018962, 2.808406, -2.90904, -6.343677, 1.5802416, -1.5679412, 5.085573, -1.0183126, 0.6537627, 0.49880266, -2.5247548, 0.7138658, -0.4665982, -1.1669912, -0.4672428, -0.49164677, 0.12345032, -0.6138634, 0.99098986, -0.6943945, 0.37716144, 0.6026509, -0.86865497, 0.7945523, -0.48042956, -2.5727186, -0.63562524, -1.2183458, -1.9915338, -1.0327593, 0.1018864, 3.163569, 4.171684, -0.06983541, 3.1973033, -3.906393, 1.0964828, 0.31257957, -2.9797087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CH3OCH3,COC,Main,Main,n,Jorgensen et al. (18),2.40E+17,17.38,"[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431]","[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
(13C)H3OCH3,CO[13CH3],COC,COC,y,Jorgensen et al. (18),1.40E+16,16.14612804,"[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431]","[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0]"
asym-CH2DOCH3,[2H]COC,COC,COC,y,Jorgensen et al. (18),4.10E+16,16.61278386,"[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431]","[-0.11140624, -0.6955965, 0.30167863, 1.5268666, 7.0503325, -1.5115238, -0.10851757, -1.3743263, 1.5222296, 0.20190491, 2.227227, -0.52956694, 1.4989834, 0.5424, 2.1139305, 0.8516607, -4.689125, 0.79056525, 2.9706163, -0.6330864, -1.4882905, 1.3104032, 2.4307077, -0.8969041, -3.9177501, -1.3251125, -1.7376583, 1.1976318, 2.425518, -1.9622381, 0.37989005, -4.0318484, 0.20477134, -3.1057286, -0.51489013, -1.1449044, -2.3738885, 1.9271114, -1.896233, 1.2919365, 1.4578826, -2.5368202, 0.22525181, 0.5772, 2.00478, -1.1828753, 2.9090602, -0.7884773, 1.296206, 0.50871813, -0.61626637, -0.8063316, -0.7609782, 0.18608674, 0.82794863, 0.6707607, -1.8558397, -0.6969065, -1.0709474, -1.6756257, -1.9704032, 0.16244107, 0.28239352, 4.4941306, -1.6794902, -0.3247026, -0.44178805, 2.4325724, 0.65841216, 1.7100431, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0, 0]"
